Rank,Nome,Plataforma,Ano,Genero,Publicadora,Vendas_AmericaDoNorte,Vendas_EU,Vendas_JP,Vendas_Outras,Vendas_Global
126,Donkey Kong Country Returns,0,2010,Platform,Nintendo,3.25,1.84,01.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,0,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,01.05,6.56
134,Halo 3: ODST,0,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,0,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
140,Kinect Sports,0,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,0,2011,Shooter,Microsoft Game Studios,04.05,1.62,0.07,0.49,6.24
145,Metal Gear Solid 4: Guns of the Patriots,0,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,06.03
149,LittleBigPlanet,0,2008,Platform,Sony Computer Entertainment,2.8,02.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,0,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
157,Assassin's Creed II,0,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
160,Batman: Arkham City,0,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza Motorsport 3,0,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
162,Monster Hunter Freedom Unite,0,2008,Role-Playing,Ca1om,0.47,0.57,4.13,0.34,5.5
167,Call of Duty: World at War,0,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
170,Final Fantasy XIII,0,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
177,Assassin's Creed II,0,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
190,Mario & Sonic at the Olympic Games,0,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
193,Fable III,0,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
197,Resident Evil 5,0,2009,Action,Ca1om,1.96,1.43,01.08,0.65,5.11
200,FIFA Soccer 11,0,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,05.08
209,Fallout 3,0,2008,Role-Playing,Bethesda Softworks,3.39,01.03,0.09,0.44,4.96
215,Monster Hunter Freedom 3,0,2010,Role-Playing,Ca1om,0,0,4.87,0,4.87
217,God of War III,0,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
218,StarCraft II: Wings of Liberty,1,2010,Strategy,Activision,2.56,1.68,0,0.59,4.83
223,Batman: Arkham City,0,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
227,Animal Crossing: City Folk,0,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
229,Forza Motorsport 4,0,2011,Racing,Microsoft Game Studios,02.08,02.04,0.06,0.47,4.64
234,Mario & Sonic at the Olympic Winter Games,0,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
248,Michael Jackson: The Experience,0,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
260,Fable II,0,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
263,Batman: Arkham Asylum,0,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
264,Assassin's Creed: Revelations,0,2011,Action,Ubisoft,1.41,02.02,0.1,0.72,4.24
269,The Legend of Zelda: Ocarina of Time,0,2011,Action,Nintendo,02.03,1.27,0.62,0.3,4.21
274,Assassin's Creed: Revelations,0,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
275,Street Fighter IV,0,2009,Fighting,Ca1om,02.02,01.06,0.58,0.53,4.19
276,FIFA 12,0,2011,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
285,The Legend of Zelda: Skyward Sword,0,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
290,Fallout: New Vegas,0,2010,Role-Playing,Bethesda Softworks,2.65,01.06,0.04,0.33,04.08
300,Fallout 3,0,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,04.01
302,Left 4 Dead 2,0,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
304,EA Sports Active,0,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
311,The Elder Scrolls V: Skyrim,1,2011,Role-Playing,Bethesda Softworks,1.15,02.09,0,0.64,3.88
314,Sports Champions,0,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
320,Mario & Luigi: Bowser's Inside Story,0,2009,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
322,Nintendogs + cats,0,2011,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
324,Mario & Sonic at the London 2012 Olympic Games,0,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
325,LEGO Indiana Jones: The Original Adventures,0,2008,Action,Activision,2.4,01.03,0,0.36,3.78
339,Friend Collection,0,2009,Misc,Nintendo,0,0,3.67,0,3.67
344,Guitar Hero: World Tour,0,2008,Misc,Activision,2.33,0.97,0,0.35,3.65
348,FIFA Soccer 10,0,2009,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
367,FIFA Soccer 11,0,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
370,Left 4 Dead,0,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
371,Mario & Sonic at the Olympic Winter Games,0,2009,Sports,Sega,1.22,1.66,0.27,0.38,3.52
372,Resident Evil 5,0,2009,Action,Ca1om,2.11,0.94,0.12,0.34,3.51
374,Assassin's Creed: Brotherhood,0,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
376,Batman: Arkham Asylum,0,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
380,Battlefield: Bad Company 2,0,2010,Shooter,Electronic Arts,02.09,01.02,0.04,0.32,3.48
381,Guitar Hero: On Tour,0,2008,Misc,Activision,2.11,01.01,0.01,0.35,3.48
385,Borderlands,0,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
388,LittleBigPlanet 2,0,2011,Platform,Sony Computer Entertainment,1.82,01.07,0.06,0.47,3.42
395,LEGO Batman: The Videogame,0,2008,Action,Warner Bros. Interactive Entertainment,02.03,01.03,0,0.32,3.38
397,The Legend of Zelda: Spirit Tracks,0,2009,Action,Nintendo,1.43,0.94,0.74,0.27,3.38
400,Professor Layton and the Unwound Future,0,2008,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
413,Wii Music,0,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
414,Gran Turismo (PSP),0,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
418,L.A. Noire,0,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
426,God of War: Chains of Olympus,0,2008,Action,Sony Computer Entertainment,1.48,01.01,0.04,0.66,3.19
428,Dance Central,0,2010,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19
431,Fallout: New Vegas,0,2010,Role-Playing,Bethesda Softworks,1.52,01.08,0.1,0.47,3.17
433,Rhythm Heaven,0,2008,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
435,Club Penguin: Elite Penguin Force,0,2008,Adventure,Disney Interactive Studios,1.88,0.98,0,0.3,3.16
437,LEGO Batman: The Videogame,0,2008,Action,Warner Bros. Interactive Entertainment,1.79,01.06,0,0.29,3.15
448,Heavy Rain,0,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
449,Mass Effect 2,0,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
459,Kung Fu Panda,0,2008,Action,Activision,1.91,0.84,0,0.29,03.05
461,Epic Mickey,0,2010,Platform,Disney Interactive Studios,02.06,0.64,0.12,0.22,03.04
462,Saints Row 2,0,2008,Action,THQ,1.94,0.8,0.02,0.27,03.03
464,Killzone 2,0,2009,Shooter,Sony Computer Entertainment,1.4,01.07,0.08,0.47,03.02
478,Battlefield: Bad Company 2,0,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.97
480,Star Wars: The Old Republic,1,2011,Role-Playing,Electronic Arts,1.58,01.01,0,0.38,2.97
482,Kirby Super Star Ultra,0,2008,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96
484,Street Fighter IV,0,2009,Fighting,Ca1om,1.82,0.71,0.15,0.26,2.95
488,inFAMOUS,0,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,2.94
497,Sega Superstars Tennis,0,2008,Sports,Sega,1.75,0.86,0,0.28,2.9
502,Zumba Fitness 2,0,2011,Sports,Majesco Entertainment,1.54,01.07,0,0.28,2.88
509,Mortal Kombat,0,2011,Fighting,Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
513,Skylanders: Spyro's Adventure,0,2011,Action,Activision,1.4,1.14,0,0.31,2.85
515,Assassin's Creed: Brotherhood,0,2010,Action,Ubisoft,1.87,0.57,0.11,0.3,2.84
517,Madden NFL 10,0,2009,Sports,Electronic Arts,2.52,0.09,0,0.22,2.83
518,Medal of Honor,0,2010,Shooter,Electronic Arts,1.28,01.05,0.07,0.43,2.83
523,Need for Speed: Hot Pursuit,0,2010,Racing,Electronic Arts,01.05,1.25,0.03,0.48,2.81
526,Star Wars: The Force Unleashed,0,2008,Action,LucasArts,1.74,0.8,0,0.26,2.8
529,Killzone 3,0,2011,Shooter,Sony Computer Entertainment,1.45,0.88,0.09,0.38,2.79
534,Battlefield 3,1,2011,Shooter,Electronic Arts,0.89,1.43,0,0.48,2.79
536,Professor Layton and the Last Specter,0,2009,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79
537,Monster Hunter Tri,0,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
541,Tekken 6,0,2009,Fighting,Namco Bandai Games,1.2,0.98,0.17,0.43,2.78
544,Saints Row: The Third,0,2011,Action,THQ,1.25,1.15,0.07,0.3,2.77
550,L.A. Noire,0,2011,Adventure,Take-Two Interactive,1.52,0.94,0.02,0.24,2.72
556,Madden NFL 12,0,2011,Sports,Electronic Arts,2.42,0.11,0,0.16,2.69
558,Madden NFL 11,0,2010,Sports,Electronic Arts,2.38,0.12,0,0.18,2.69
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,0,2010,Puzzle,Nintendo,1.63,0.52,0.35,0.18,2.69
560,Skate 3,0,2010,Sports,Electronic Arts,1.46,0.98,0,0.24,2.68
563,Need for Speed: Shift,0,2009,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68
564,Final Fantasy XIII-2,0,2011,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68
567,Guitar Hero: World Tour,0,2008,Misc,Activision,1.78,0.64,0,0.25,2.67
579,Halo Wars,0,2009,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24,2.63
580,God of War Collection,0,2009,Action,Sony Computer Entertainment,1.7,0.46,0.06,0.41,2.63
583,Medal of Honor,0,2010,Shooter,Electronic Arts,1.55,0.81,0.04,0.21,2.62
584,FIFA Soccer 10,0,2009,Sports,Electronic Arts,0.59,1.79,0.01,0.23,2.62
585,NBA 2K12,0,2011,Sports,Take-Two Interactive,2.31,0.14,0.01,0.16,2.62
586,Style Savvy,0,2008,Simulation,Nintendo,0.63,0.84,0.96,0.19,2.61
588,Super Mario All-Stars: Limited Edition,0,2010,Platform,Nintendo,01.02,0.52,0.92,0.14,2.6
590,FIFA Soccer 09,0,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.59
593,LittleBigPlanet,0,2009,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
595,Ghostbusters: The Video Game (DS Version),0,2009,Action,Take-Two Interactive,01.04,1.24,0.03,0.27,2.58
599,Art Academy,0,2010,Misc,Nintendo,0.28,1.68,0.33,0.28,2.57
600,Dragon Age: Origins,0,2009,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22,2.57
606,Deca Sports,0,2008,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54
607,Madden NFL 09,0,2008,Sports,Electronic Arts,2.21,0.12,0,0.2,2.54
615,PES 2009: Pro Evolution Soccer,0,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,02.05,2.5
617,Saints Row: The Third,0,2011,Action,THQ,0.86,01.06,0.18,0.39,2.49
619,LEGO Harry Potter: Years 1-4,0,2010,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0,0.23,2.49
621,Resistance 2,0,2008,Shooter,Sony Computer Entertainment,1.15,0.85,0.1,0.39,2.48
622,Pure,0,2008,Racing,Disney Interactive Studios,1.38,0.85,0,0.25,2.48
628,uDraw Studio,0,2010,Misc,THQ,1.67,0.58,0,0.2,2.46
629,Midnight Club: Los Angeles,0,2008,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45
633,Halo: Combat Evolved Anniversary,0,2011,Shooter,Microsoft Game Studios,1.44,0.73,0.04,0.22,2.44
637,Tom Clancy's Rainbow Six: Vegas 2,0,2008,Shooter,Ubisoft,1.56,0.61,0.02,0.23,2.42
640,pro evolution soccer 2011,0,2010,Sports,Konami Digital Entertainment,0.29,1.18,0.54,0.41,2.42
652,Zumba Fitness,0,2010,Sports,505 Games,1.74,0.48,0,0.18,2.39
657,Dead Island,0,2011,Action,Deep Silver,1.48,0.71,0,0.2,2.39
660,Kinect: Disneyland Adventures,0,2011,Misc,Microsoft Game Studios,1.73,0.46,0.02,0.18,2.38
664,Madden NFL 11,0,2010,Sports,Electronic Arts,02.04,0.15,0,0.19,2.38
670,Madden NFL 10,0,2009,Sports,Electronic Arts,02.03,0.13,0,0.21,2.37
671,Kinect Sports: Season Two,0,2011,Sports,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
673,LEGO Harry Potter: Years 1-4,0,2010,Action,Warner Bros. Interactive Entertainment,01.07,01.05,0,0.23,2.35
676,Midnight Club: Los Angeles,0,2008,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35
679,My Fitness Coach,0,2008,Sports,Ubisoft,1.2,0.9,0,0.24,2.34
681,The Sims 3,0,2010,Simulation,Electronic Arts,1.27,0.86,0,0.2,2.33
684,Just Dance Kids,0,2010,Misc,Ubisoft,1.57,0.56,0,0.19,2.32
694,Pokemon Ranger: Shadows of Almia,0,2008,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3
695,Dead Island,0,2011,Action,Deep Silver,01.08,0.75,0.15,0.31,2.29
699,Pro Evolution Soccer 2010,0,2009,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28
703,FIFA Soccer 09,0,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28
704,Star Wars: The Force Unleashed,0,2008,Action,LucasArts,01.01,0.9,0,0.37,2.28
708,Sonic's Ultimate Genesis Collection,0,2009,Misc,Sega,1.34,0.62,0,0.31,2.27
719,Madden NFL 12,0,2011,Sports,Electronic Arts,1.93,0.15,0,0.17,2.25
720,Monster Hunter Tri,0,2009,Role-Playing,Nintendo,0.67,0.41,01.05,0.11,2.25
721,Dissidia: Final Fantasy,0,2008,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25
725,LEGO Indiana Jones: The Original Adventures,0,2008,Action,Activision,1.42,0.61,0,0.21,2.23
726,Dance Dance Revolution X2,0,2009,Simulation,Konami Digital Entertainment,01.09,0.85,0,0.28,2.23
729,Scribblenauts,0,2009,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22
731,Need for Speed: Hot Pursuit,0,2010,Racing,Electronic Arts,01.03,0.98,0,0.21,2.22
732,BioShock 2,0,2010,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21
735,Rock Band 2,0,2008,Misc,Electronic Arts,1.78,0.24,0,0.18,2.2
740,Sonic Unleashed,0,2008,Platform,Sega,1.28,0.68,0.02,0.21,2.2
742,Pro Evolution Soccer 2012,0,2011,Action,Konami Digital Entertainment,0.34,0.97,0.55,0.33,2.19
754,Final Fantasy XIII,0,2010,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17
758,Your Shape featuring Jenny McCarthy,0,2009,Sports,Ubisoft,1.51,0.47,0,0.18,2.16
773,Toy Story 3: The Video Game,0,2010,Action,Disney Interactive Studios,0.93,0.97,0.02,0.21,2.12
775,Kirby's Epic Yarn,0,2010,Platform,Nintendo,1.47,0.09,0.45,0.11,2.12
778,NBA 2K12,0,2011,Sports,Take-Two Interactive,1.61,0.27,0.05,0.18,2.11
779,Borderlands,0,2009,Shooter,Take-Two Interactive,1.2,0.62,0,0.29,2.11
781,PES 2009: Pro Evolution Soccer,0,2008,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11
783,Mario Sports Mix,0,2010,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11
786,Mortal Kombat,0,2011,Fighting,Warner Bros. Interactive Entertainment,1.63,0.33,0,0.15,2.11
791,Portal 2,0,2011,Shooter,Valve Software,1.41,0.51,0.01,0.17,2.1
796,NBA 2K11,0,2010,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,02.09
797,Wipeout: The Game,0,2009,Misc,Mindscape,1.97,0,0,0.12,02.09
800,Metal Gear Solid: Peace Walker,0,2010,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,02.09
801,World of Warcraft: Cataclysm,1,2010,Role-Playing,Activision,1.77,0.32,0,0,02.08
803,Need For Speed: Undercover,0,2008,Racing,Electronic Arts,0.63,01.02,0.05,0.39,02.08
806,Ghostbusters: The Video Game (DS Version),0,2010,Action,Take-Two Interactive,0.59,0.99,0.13,0.36,02.08
809,Skate 3,0,2010,Sports,Electronic Arts,0.79,0.94,0,0.35,02.08
811,Kingdom Hearts: Birth by Sleep,0,2010,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,02.07
812,UFC 2009 Undisputed,0,2009,Fighting,THQ,1.48,0.39,0,0.19,02.07
813,Dark Souls,0,2011,Role-Playing,Namco Bandai Games,0.75,0.54,0.54,0.23,02.07
816,The Sims 3,0,2010,Simulation,Electronic Arts,0.73,0.97,0.02,0.34,02.06
817,Tom Clancy's Splinter Cell: Conviction,0,2010,Action,Ubisoft,1.2,0.63,0.04,0.19,02.06
824,Carnival Games,0,2008,Misc,Take-Two Interactive,1.23,0.64,0,0.19,02.05
831,Kingdom Hearts 358/2 Days,0,2009,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,02.04
832,Dance Central 2,0,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,02.04
833,Rayman Raving Rabbids: TV Party,0,2008,Misc,Ubisoft,0.73,01.09,0,0.23,02.04
837,Need for Speed: The Run,0,2011,Action,Electronic Arts,0.58,01.06,0.03,0.37,02.04
840,Just Dance 3,0,2011,Misc,Ubisoft,1.47,0.4,0,0.16,02.03
842,Dead Space,0,2008,Action,Electronic Arts,01.05,0.67,0,0.3,02.02
852,Mortal Kombat vs. DC Universe,0,2008,Fighting,Midway Games,1.48,0.3,0,0.22,2
861,Sonic Classic Collection,0,2010,Platform,Sega,0.99,0.8,0,0.18,1.97
863,Call of Duty: World at War,0,2008,Shooter,Activision,1.2,0.59,0,0.19,1.97
865,Burnout Paradise,0,2008,Racing,Electronic Arts,01.01,0.64,0.02,0.3,1.97
879,FIFA Soccer 09,0,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94
888,Guitar Hero: World Tour,0,2008,Misc,Activision,1.1,0.56,0,0.27,1.93
892,Mortal Kombat vs. DC Universe,0,2008,Fighting,Midway Games,1.53,0.24,0,0.16,1.93
894,Mario Super Sluggers,0,2008,Sports,Nintendo,1.51,0,0.29,0.12,1.93
897,Need for Speed: Shift,0,2009,Racing,Electronic Arts,0.73,0.97,0.01,0.22,1.92
898,Monopoly,0,2008,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92
903,Toy Story Mania!,0,2009,Misc,Disney Interactive Studios,01.06,0.67,0,0.18,1.92
905,Star Wars: The Force Unleashed,0,2008,Action,LucasArts,1.14,0.57,0,0.19,1.91
906,Game Party 2,0,2008,Misc,Midway Games,1.3,0.44,0,0.17,1.91
908,LEGO Star Wars III: The Clone Wars,0,2011,Action,LucasArts,01.08,0.66,0,0.17,1.91
912,Madden NFL 09,0,2008,Sports,Electronic Arts,1.56,0.15,0,0.18,1.89
914,Ratchet & Clank Future: A Crack in Time,0,2009,Platform,Sony Computer Entertainment,01.05,0.54,0.03,0.26,1.88
933,Phineas and Ferb,0,2009,Action,Disney Interactive Studios,1.34,0.37,0,0.15,1.86
935,GoldenEye 007 (2010),0,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86
941,inFAMOUS 2,0,2011,Action,Sony Computer Entertainment,01.05,0.49,0.08,0.23,1.85
943,Demon's Souls,0,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84
958,Dragon Quest VI: Realms of Revelation,0,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81
964,Guitar Hero: World Tour,0,2008,Misc,Activision,1,0.03,0,0.77,1.8
967,NBA 2K11,0,2010,Action,Take-Two Interactive,1.41,0.21,0.03,0.16,1.8
977,Professor Layton and the Mask of Miracle,0,2011,Puzzle,Nintendo,0.32,0.95,0.36,0.14,1.78
978,Just Cause 2,0,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78
988,UFC 2009 Undisputed,0,2009,Fighting,THQ,01.07,0.45,0.01,0.24,1.77
1013,Cooking Mama 3: Shop & Chop,0,2009,Simulation,505 Games,0.83,0.66,0.08,0.18,1.75
1014,Dance Dance Revolution X,0,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75
1018,Portal 2,0,2011,Shooter,Valve,0.83,0.63,0.02,0.25,1.74
1019,The Beatles: Rock Band,0,2009,Misc,MTV Games,1.19,0.4,0,0.16,1.74
1021,Sonic Colors,0,2010,Platform,Sega,0.96,0.61,0.01,0.16,1.74
1025,Uncharted: Golden Abyss,0,2011,Shooter,Sony Computer Entertainment,0.59,0.75,0.13,0.27,1.74
1037,Call of Duty: World at War Final Fronts,0,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72
1038,Imagine: Teacher,0,2008,Simulation,Ubisoft,0.7,0.83,0,0.19,1.72
1039,Call of Duty: Modern Warfare 3,1,2011,Shooter,Activision,0.41,0.98,0,0.33,1.72
1042,The Sims 3: Late Night Expansion Pack,1,2010,Simulation,Electronic Arts,0.59,0.87,0,0.25,1.71
1043,Game Party 3,0,2009,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
1050,Cabela's Big Game Hunter 2010,0,2009,Sports,Activision Value,1.58,0,0,0.12,1.7
1052,FIFA Soccer 10,0,2009,Sports,Electronic Arts,0.23,0.24,0,1.23,1.7
1053,We Ski,0,2008,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
1055,Kirby's Return to Dreamland,0,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
1061,Saints Row 2,0,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
1064,Dragon Age: Origins,0,2009,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
1069,Need For Speed: Undercover,0,2008,Racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69
1071,Sid Meier's Civilization V,1,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.19,1.69
1081,Star Wars The Clone Wars: Lightsaber Duels,0,2008,Action,LucasArts,1.23,0.3,0,0.14,1.68
1084,Shaun White Snowboarding: Road Trip,0,2008,Sports,Ubisoft,0.94,0.57,0,0.17,1.67
1086,Big Beach Sports,0,2008,Sports,THQ,0.45,01.02,0,0.2,1.67
1111,Go Vacation,0,2011,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65
